bathrooms,bedrooms,city,country,homeStatus,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isZillowOwned,latitude,longitude,livingArea,price,zestimate,rentZestimate,streetAddress,zipcode
3.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.067013,-81.00984,1870.0,463900.0,463900.0,2533.0,15339 Thomas Rd,28278
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.26164,-80.8928,1128.0,325000.0,225400.0,1473.0,624 Cantwell St,28208
3.0,2.0,Charlotte,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.280884,-80.73623,1513.0,259000.0,261100.0,1794.0,8220 Shinkansen Dr #8220,28213
3.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.214497,-80.816284,2956.0,1298900.0,1126400.0,5425.0,1945 E 9th St,28204
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.27924,-80.976204,1206.0,295000.0,283000.0,1691.0,2617 Oasis Ln,28214
4.0,3.0,Charlotte,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.24345,-80.84269,1581.0,543445.0,543445.0,1581.0,1428 Hamilton St #13,28206
3.0,3.0,Charlotte,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.211475,-80.86211,1942.0,725000.0,746400.0,3599.0,231 Doggett St,28203
1.0,2.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.24161,-80.875946,1476.0,360000.0,278700.0,1499.0,2835 Morson St,28208
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.210384,-80.78724,1770.0,675000.0,452800.0,2607.0,1409 Pinecrest Ave,28205
1.0,1.0,Charlotte,USA,FOR_SALE,CONDO,False,True,False,False,False,35.18776,-80.79084,658.0,220000.0,220000.0,1294.0,1032 Churchill Downs Ct APT E,28211
4.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.106712,-80.78794,3520.0,1000000.0,1043800.0,4988.0,1709 Rosebank Ln,28226
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.305347,-80.779655,1680.0,349000.0,303500.0,1875.0,1409 Clooney Ln,28262
3.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.341293,-80.86562,2138.0,380000.0,334900.0,2006.0,8818 Kirkville Ln,28216
3.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.32436,-80.79328,1368.0,270000.0,270000.0,1749.0,6040 Briggs Dr,28269
3.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.080708,-81.03581,2327.0,706000.0,688900.0,3269.0,82225 Standing Oak Dr,28278
4.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.135345,-80.80545,3398.0,1995000.0,1198700.0,5754.0,2204 Thornridge Rd,28226
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.237667,-80.78546,1314.0,550000.0,550000.0,1727.0,2428 Elkwood Cir,28205
1.0,1.0,Charlotte,USA,FOR_SALE,CONDO,False,True,False,False,False,35.22746,-80.8312,734.0,295000.0,295000.0,1884.0,744 N Davidson St #18,28202
